"ID","Text","Author"
"40","seminarija","Putinas"
"41","naujokas pirmamečių 17 kambarys vadinamas labirintas tilpo septyniolika","Putinas"
"42","liudas tebekovojo paskutinis nutrauktas miegas antplūdis artimas kaimynas jonas variokas paprastas pamesti lova paskutinis būti pakilęs praeidamas negailestingas nuplėšyti antklodė","Putinas"
"43","vasaris šokti lova imti paskuba rengtis","Putinas"
"44","staiga atsimisti šiandien diena nepaprastas","Putinas"
"45","šiandien baigia ilgus 5 dienus rekolekcijas pirmas kartas2 užsivilks sutanas","Putinas"
"46","mintis nuvėrė liudą vasaris galvoti koja pasijusti pagautas iškilmingas rytas nuotaika draugė","Putinas"
"47","tarpas visi rengtis trumpas gimnazistiškais drabužis sutanas apsivilks meditacija eidami klausytis šventas mišios pirmas kartas2 rekolekcijų priimtas šventas komunija","Putinas"
"48","greit nusiprausęs apsitaisęs liudas vasaris draugė skubesniais sprukti sodas likęs skambutis minutė atsigautas tyras orus galutinai nusiblaškyti miegas","Putinas"
"49","pora savaitė išbuvęs mūruose suspėti prisitaikytas seminarija gyvenimas tempas taptas vienas ratelis didžiulis mechanizmas visą gyvenimas skirstyti laikrodis rodyklė kietas negailestingas skambalo garsas","Putinas"
"50","mokslas metas paprastas diena penktas valanda devyni skambalo smūgis kelti miegas","Putinas"
"51","pusvalandis 3 skambalo smūgis šaukti koplyčia rytmetinėm maldom meditacija","Putinas"
"52","septintas valanda skambinti mišiom","Putinas"
"53","aštunta turėti pavalgytas pusrytis kartas2 atlankyti sanctissimum","Putinas"
"54","8 12 valanda 3 skambalo smūgis apreikšdavo pamoka pradžia galas","Putinas"
"55","12 valanda eiti koplyčia trumpas maldyti sąžinė apyskaitai examen conscientiae","Putinas"
"56","15 minutė skambinti pietūs","Putinas"
"57","pietūs lankyti sanctissimum","Putinas"
"58","2 valanda būti laisvas laika rekreacija","Putinas"
"59","antras valanda skambalo smūgis pranešti silentium trukti 4 valanda būti skirtas darbas","Putinas"
"60","4 valanda 5 skambalo smūgis paleisti pertraukti pusvalandis skambalas sušaukdavo darbas","Putinas"
"61","6 valanda 3 skambalo smūgis varyti didus auditorija rektorius jiem duodavo geras kunigas elgesys pamoka dažnas skaitydamas tikras vadovėlis kartas2 išbardamas pastebėtas kolektyvius nusikaltimas blogas elgesys","Putinas"
"62","pamoka dažnas pakeisti koplyčia ražančius","Putinas"
"63","septintas valanda 5 skambalo smūgis šaukti vakarienė","Putinas"
"64","pavalgęs lankymas švenčiausio rekreacija pusė valanda žiemoti metas bendrojoj salėj pavasaris metas šviesus sodas","Putinas"
"65","7 valanda 3 skambalo smūgis šaukti koplyčia vakarinėm maldom sąžinė perkratymui","Putinas"
"66","čia dvasus tėvas paskaitydavo ryt rytas meditacija punktas","Putinas"
"67","vakarinis malda 9 valanda būti sacrosanctum silentium didelis susikaupimas laika skirtas dvasus skaitymas darbas","Putinas"
"68","devintas valanda 9 skambalo smūgis pranešti darbas dienoti galas","Putinas"
"69","tada kartas2 trumpas lankyti švenčiausią eiti gultas","Putinas"
"70","užmiegant seminarija regulos dvasinis gyvenimas vadovas jiem būti patariamas prisimisti rytdieninės meditacija turinys būti girdėję koplyčioj","Putinas"
"71","geležinis dienotvarkė turėti variantas","Putinas"
"72","mokslas diena šventadieniais keltis 6 valanda 11 val","Putinas"
"73","skambalas šaukti katedra suma 4 val","Putinas"
"74","mišparam","Putinas"
"75","adventas metas eiti ankstyvąsias rarotas gavėnioj galas ilgęs graudžiuosius verksmus giedodavo kartus bažnyčia","Putinas"
"76","didus šventė kalėdoti velykos sekminės dievas kūnas oktava atnešti naujas ėjimas","Putinas"
"77","ketvirtadienis tuoj pietūs 5 val","Putinas"
"78","vesti visus kartus pasivaikščiotas miestas plentais miškelis","Putinas"
"79","pietum diena duodavo kopūstas","Putinas"
"80","šeštadienis eiti išpažintis vakarinis malda būti dvasus tėvas konferencija","Putinas"
"81","mėnuo pradžioj laikyti vienos dienoti rekolekcijas pradžioj pabaigoj mokslas metas gavėnioj šventimus rekolekcijos trukti 3 5 diena","Putinas"
"82","liudas vasaris pora savaitė išbuvęs seminarijoj viso režimas nepatyrė laikas visai priprasti skambalo balsas išgirdęs kilti plaukti srovė išsiliejusių koridorius klierikas ten balsas šaukti","Putinas"
"83","šiol negalėti priprastas keliamas miegas ankstybasis skambalo balsas būti netikėtas nelauktas smūgis nutraukiąs smagus miegas dalis","Putinas"
"84","pirma diena keltis nenoromis lengvas svaigstančia galva rytmetinę meditacija neužmigdavo jaustis būti naujokas","Putinas"
"85","liudas antras kartas2 būti bežingsniuojąs didoką seminarija sodas 3 skambalo smūgis pasukti atgal draugė tekintis leistis koplyčia nepasivėlintų poteriam","Putinas"
"86","koplyčioj kursas turėti vietą klierikas žinoti suolas reikti eiti","Putinas"
"87","vasaris alfabetiška vieta būti paskutinis suolas","Putinas"
"88","koplyčia būti menkti apšviestas ūkanoto grotuotus langas besiskverbiančio ruduo rytas du žvakė vienos dvasus tėvas vienos skaitančio malda klieriko klaupkos","Putinas"
"89","altorius raudonoj taurelėj silpnas mirgėti aliejinė lepti","Putinas"
"90","koplyčia pirma dienoti padaryti liudui vasariui neišdildomo įspūdis","Putinas"
"91","visados švarus laikomas tylėti paslaptingas apvalai suskliaustomis lubos mažutis altorium suolas eilė klausykla vargonai būti tikras viso seminarija gyvenimas širdis","Putinas"
"92","kuone 10 kartus diena įplaukdavo išplaukti gyvenimas nepažinusių gyvenimas gydytas besirengiančių jaunuolis bangas","Putinas"
"93","joj būti priežastis pateisinimas kietas gyvenimas mūruose leido išsižadėdami laisvėti jaunatvės visų pasaulis vilionių","Putinas"
"94","liudui vasariui pirma dienoti akis kristi išgaubtų koplyčia siena pusė nupieštas šv","Putinas"
"95","aloyzo gonzagos šv","Putinas"
"96","stanislovo kostkos didus natūralus dydis paveikslas","Putinas"
"97","būti dvasiškos jaunuomenė klierikas šventas globėjas","Putinas"
"98","tyliomis dienoti valanda koplyčia būti tuščias svirduliuojančioj žvakė šviesoj būti pilnutėlis dvasiškus pratimas atlikinėjančių sutonuotų jaunuolis du keistas išlinkę šventas sutanomis kamžomis nekaltais veidas aureolių apsuptomis galva būti apgaubtas kažko nesuprantamas mistiškas paslaptingas","Putinas"
"99","liudas vasaris įsižiūrėjęs didžiulis paveikslas visados pajusti gilus pagarba prietaringos baimė jausmas","Putinas"
"100","dažnas įsivaizduodavo būti baisus reikti nakčia vienas pasiliktas apytamsėj koplyčioj du didelis nebylys šventas jaunuolis draugystėj","Putinas"
"101","mėgdamas jaudintas vaizdas jausti didelis dvasus sukrėtimas tekti ilgainiui patirtas pačioj koplyčioj šventas akivaizdoj","Putinas"
"102","daugelis metas praslinkęs liudo vasaris gyvenimas pakrypti visai vėžėmis koplyčia šventas kartas2 kartas2 rodytis sapnas primindami naivus tyras jaunatvės pasišventimas idealizmas","Putinas"
"103","malda tada seminarijoj skaityti lotyniškas lenkiškas įterpimais meditacija punktas lenkiškas konferencija sakyti lenkiškas","Putinas"
"104","liudas malda konferencija pradžia nesuprato","Putinas"
"105","pirma rekolekcijos jiem aspirantam lietuviam būti daug laisvas mąstymo svarstymas laika tikras rekolekcijos","Putinas"
"106","vienas konferencija dvasus tėvas jiem pasakyti lietuviškai","Putinas"
"107","konferencijoj išdėstyti kunigas pašaukimas kilnumas motyvas galėti patrauktas seminarija siena","Putinas"
"108","motyvas","Putinas"
"109","tada liudas vasaris galvoti daug nekvaršino","Putinas"
"110","reikėti kitaip nebūti galimas tiekti","Putinas"
"111","daugelis metas atsistoti gyvenimas pusiaukelėj kryžkelėj pašaukimas klausimas būti teoretiško svarstymas objektas širdis kraujas aplieta gyvenimas žaizda tada galutinai paaiškėti seminarija stojimas motyvas versti","Putinas"
"112","nebūti žemas karjeristiški nedaug ką bendras turėti tikras tiesioginis kunigavimo uždavinys pastoracija apaštalavimu kristaus mokslas skleidimas dvasinis tobulėjimas tėvas noras žinomas nusverti daug","Putinas"
"113","liudas mažens būti skirtas leistas kunigas","Putinas"
"114","pabaigęs 5 klasė tylus klusnus 16 metas jaunuolis mėgintas nemėgino priešintis geležinis nulemiančiai tėvas valus tylus jautrus motina noras","Putinas"
"115","nebūti sunkus žinomas sumetimas lenkti seminarija pusė","Putinas"
"116","1905 metas revoliucija užklupti liudą vasaris vienoj pirmas gimnazija klasė pasėkos lydėti visus gimnazija mokslas metas","Putinas"
"117","mokinys tarpas žemas klasė metas būti pasireiškęs didokas patvirkimas","Putinas"
"118","du atsitikimas pasibaisėjimu sukrėsti liudo siela","Putinas"
"119","draugė kartas2 bažnyčia parsinešti komunija reikalautas stebuklas įrodytas nesą dievas","Putinas"
"120","gimnazijoj visame miestas kilti negirdėtas skandalas plačia nuaidėjęs visoj apylinkėj","Putinas"
"121","gimnazistui proga tėvas giminė tekti prisiklausytas aimana bauginimas grasinimas daug reikti","Putinas"
"122","netrukęs antra liudo draugė nusišauti susirgęs veneros liga netekęs sakytis raštely gyvenimas tikslas gyventas esantis nusibosti","Putinas"
"123","du įvykis du likimas pirštas liudo sąžinėj kažkodėl atsikreipė","Putinas"
"124","būti tikintis komunija niekas pasauly nebūti išdrįsęs išniekintas","Putinas"
"125","abejonė turėti","Putinas"
"126","būti laikomas patikimas pažangiu draugė","Putinas"
"127","priklausyti vienai slaptas lavinimosi kuopelei būti aiškinamas pasaulis atsiradimas evoliucija gamtamokslio visai kitaip mokyti bažnyčia","Putinas"
"128","atrodyti","Putinas"
"129","eiti religinis krizį tikėjimas netekimas kelias","Putinas"
"130","turimas tikėjimas tėvas auklėjimas įtaka šaukti gelbėtis","Putinas"
"131","seminarija","Putinas"
"132","būti lytinis brendimas metas","Putinas"
"133","gauti vienas draugė pasiskaitytas pseudomediciniškų brošiūrų klausimas laukią jaunuolis pavojus būti atvaizduotas perdėtas efektingas","Putinas"
"134","daugybė žinomas pavyzdys mokinys elgesys draugė nusižudymas patvirtinti išvedžiojimas daryti gyvenimas juodas purvinas bjaurus","Putinas"
"135","kartas2 atrodyti stovėti bedugnė kraštas","Putinas"
"136","pusė jaunuoliškas idealizmas entuziazmas didelis darbas noras","Putinas"
"137","liudą vasaris tada būti pagavęs pirma patriotizmas bangas","Putinas"
"138","dirbti lietuvai","Putinas"
"139","ką dirbtas","Putinas"
"140","rašyti","Putinas"
"141","raštas darbas būti pasižymėjęs klasė","Putinas"
"142","būti bandęs","Putinas"
"143","artimesnieji draugė žinoti tikėtis","Putinas"
"144","neseniai būti skaitęs maironio jaunas lietuvą","Putinas"
"145","poema įspūdis pavergti užburti maironis tapyti milžinas dievaitis idealus","Putinas"
"146","maironis kunigas","Putinas"
"147","paskutinis atostogos metas liudui tekti būti vienas giminaitis ką įšvęsto kunigas primicijose","Putinas"
"148","čia būti džiaugsmas lietuviškų daina kalbus","Putinas"
"149","paimti jaunas kunigas ranka valandėlė vaikščioti sodas takelis","Putinas"
"150","ką","Putinas"
"151","girdėti tėvas seminarija rengtis vežti","Putinas"
"152","paklausyti kunigas","Putinas"
"153","tekti važiuoti nebijai","Putinas"
"154","bijot nebijau sakyti ten esantis nelengvas","Putinas"
"155","niektis","Putinas"
"156","daug ką perdeda","Putinas"
"157","nėr baisus sakyti ten niekados nebūti","Putinas"
"158","važiuoti brolyti neapsigausi","Putinas"
"159","lietuvai reikti darbininkas","Putinas"
"160","kovoti rusas lenkas","Putinas"
"161","rašyti leisime laikraštis knyga steigsime draugija","Putinas"
"162","ilgus kalbėti primiciantas parodyti liudui ten buvęs klierikus pasižymėjusius","Putinas"
"163","syti garbiniuotas skardžiabalsis sveikata gyvybė trykštąs raudonikis būti išvertęs išleidęs vienas knygelė","Putinas"
"164","tyrinėjąs lietuvos istorija aukštas liesas blondinas geras pažįstąsis literatūra rašąs kritika straipsnis ilgaplaukis gražuolis turįsis nemažas beletristo talentas","Putinas"
"165","liudas nudžiugti","Putinas"
"166","vadintis teisybė","Putinas"
"167","išganymas","Putinas"
"168","žinoti visi didus lietuvė literatūra vardas priklausyti kunigam","Putinas"
"169","priaugančių","Putinas"
"170","daugelis metas liudo vasaris gyvenimas pakrypti linkmė prisimindamas scena sodas daug žadančius klierikus kartus nusišypsoti garbiniuotas raudonikis paskęsti alkoholy istorikas žūti užkampis parapijoj kritika pora metas išvaryti seminarija gabusis beletristas tapęs kunigas visai mesti rašęs","Putinas"
"171","liudas vasaris","Putinas"
"172","pasibaigus meditacija maldom vasaris tekintis leistis viršų vilktis sutana","Putinas"
"173","visi pirmamečiai dabar būti užsiėmęs","Putinas"
"174","kelnės reikėti paslėptas kojinis batas auluose krūtinė užsidėtas tikras susegimo liemenė baltas smakras sprandas užsegama apikakle vadinamas koloratka užsivilkti sutana kalbant tikras maldelę","Putinas"
"175","atlikęs liudas išsitraukti gražus teta padovanotas kamžą nueiti koplyčia","Putinas"
"176","degti visos žvakė","Putinas"
"177","mišios rengtis laikyti rektorius visi klierikas vilkosi kamžas stoti eilė priimtas komunija","Putinas"
"178","momentas būti graudus iškilmingas","Putinas"
"179","liudas vasaris pamažu artintis dievas stalas pusė įgaubtų siena lydėti ramus dangiškas šv","Putinas"
"180","aloyzo šv","Putinas"
"181","stanislovo veidas","Putinas"
"182","būti mišios","Putinas"
"183","daug degti žvakė daug klierikas jom tarnauti švaistytis altorius kvepėti smilkalas giedoti choras visose klaupkose meldėsi jaunuolis apsirengęs juodas sutanomis baltas kamžomis","Putinas"
"184","liudas vasaris daugelis metas kartas2 perkratinėdamas gyvenimas norėti surastas stiprus religinis pergyvenimo momentas","Putinas"
"185","šypsodamasis atsimindavo pirma išpažintis besiruošdamas nuodėmė neatsimindamas čia padaryti sukeikdavo vištą mušti šuo nesukalbėdavo poterių","Putinas"
"186","atsimindavo pirma komunija suaugęs branginti paveikslėlis saugoti visą gyvenimas","Putinas"
"187","pirma komunija gilus įspūdis nebūti padariusi","Putinas"
"188","kūdikystė gilus įsmigti širdis mišparų vargonai gaudesys pirma dievas priėmimas","Putinas"
"189","nagrinėdavo tolimas išpažintis komunijas rasti pasitenkinimas atliktos ėjimas religinis džiaugsmas","Putinas"
"190","priėmus komunija visuomet rūpėdavo kuo greičiausia išeitas bažnyčia parbėgti namas","Putinas"
"191","atsimindavo sutanos užsivilkimo diena proga priimtas komunija atlikus viso gyvenimas išpažintis","Putinas"
"192","niekas","Putinas"
"193","jaudinti naujumas aplinkybė nusimanymas dabar tapti klieriku kunigėliu","Putinas"
"194","religinis jausmas gilus dvasus prasiskleidimo kontakte dievybe vasaris neįstengė konstatuotas","Putinas"
"195","būti tikintis praktikuojąs gilus religingas tėvas sūnus","Putinas"
"196","užsivilko sutana kalbėdams domino pars haereditatis meae","Putinas"
"197","pamaldus visi išeiti koplyčia linksmas nusiteikęs","Putinas"
"198","pasibaigti 5 dienus tylėjimas rūmas suskambti linksmas jaunas balsas","Putinas"
"199","pirmamečiai būti dienoti didvyris visų dėmesys centras","Putinas"
"200","vyrus sveikinti bučiuoti linkėdami greitas taptas geras kunigas","Putinas"
"201","dalinti jiem šventas paveikslėlis užrašas sutanos užsivilkimo diena atsimisti","Putinas"
"202","būti patenkintas dabar neišsiskirs bendras klierikas būrys gimnazistiška nunešiota uniforma","Putinas"
"203","vaikščioti koridorius juokdamiesi ilgoj sutanoj painiotis koja jaustis esantis supančiuoti vieni visų šonas apžiūrinėti","Putinas"
"204","tiesus būti juokingas","Putinas"
"205","retas tikti stuomens veidas rimta kunigiškas rūbas","Putinas"
"206","visi būti tokti jaunutis","Putinas"
"207","liudai pasitaisyk koloratką","Putinas"
"208","žiūrėti galas išlipti apikaklės įspėti vasaris draugė petryla sugrįžti labirintas","Putinas"
"209","žiūrėti apačia du saga atsisegė","Putinas"
"210","kažkodėl čia batas kliūti","Putinas"
"211","matyti balselio viena kelnė išlįsti","Putinas"
"212","niekas komunija neparvirtau reikėti atsistotas","Putinas"
"213","kažkaip primyniau sutana vietos","Putinas"
"214","žiūrėti variokas","Putinas"
"215","oo","Putinas"
"216","tikra vikaras","Putinas"
"217","variokas tiesus atrodyti geras","Putinas"
"218","stambesnis labas subrendęs pasirūpinti sutana būti pasiūtas tinkamas","Putinas"
"219","turėti dėdė kunigas mokėti geras apsieitas","Putinas"
"220","mizerijos","Putinas"
"221","sušuko kunigas","Putinas"
"222","komedija daug niekas","Putinas"
"223","ot kunigas","Putinas"
"224","suduoti krūtinė išskėtęs ranka sugiedoti omnia saecula saeculorum","Putinas"
"225","vasariukas","Putinas"
"226","viešpatie apsukti vasaris du eilė apžiūrėti visų pusė nueiti kartodamas komedija tikras komedija liudas vasaris tiesus atrodyti mizerniausių","Putinas"
"227","liesas laibutis visai vaikiškas veidas išaugimui pasiūtas sutana būti panašus bernioką apsivilkusį tėvas drabužis","Putinas"
"228","niekam tuomet nebūti galėję ateitas galva juokingam klierikučiui būti lemtas audringas garsus ateitis","Putinas"
"229","i bandymų dienos ii seminarija disciplinuotas bendruomenė bažnytinis turėti hierarchišką vyresnybę įvairus viešom funkcijom pareigom atlikinėtas tikras organas nuolatinis eilė savaitė skiriamas asmuo","Putinas"
"230","pačioj viršūnėj seminarija vyresnybė žinomas stovėti vyskupas","Putinas"
"231","seminarijoj įstoti liudas vasaris tiesiogiai vyskupas valdžia klierikas mažesnis jausti","Putinas"
"232","pasirodyti seminarijoj pasakyti pamokslėlį retkarčiais atsilankydavo pamoka","Putinas"
"233","didus šventė laikyti katedroj iškilmingas pamaldos duodavo įvairus šventimus","Putinas"
"234","pamaldus šventimų proga klierikas turėti darbas rūpestis ausis","Putinas"
"235","vieniem reikėti išmoktas labas komplikuotas ceremonytis asistuotas tarnautas pamaldom kitiem mokytis tinkamas giesmė visiem nuvargti katedroj būdas iškilmė dalyvaujant","Putinas"
"236","svarbus tiesioginis seminarija viršininkas rektorius","Putinas"
"237","būtas būti pačioj seminarijoj čia klierikas kambarys","Putinas"
"238","stropus sekti visą seminarija gyvenimas būti duodamos reliacijos klierikas elgesys reikėti kreiptis svarbus reikalas išeitas miestas pasimatytas atvažiavusiais tėvas giminė šiaip gautas leidimas","Putinas"
"239","vasaris klierikavimo metas rektorium būti tiesus žilagalvis auksuotais akinis pralotas valeškevičius senas kartoti senas pažiūra žmogus","Putinas"
"240","nebūti lenkininkas tikras prasmė jaunas lietuvė kultūra nepripažinti pašiepti naujas uodeguotą rašyba kauniškę draugija laikyti bezbožnym pismem klierikais niekad neištarė vienas žodis lietuviškai","Putinas"
"241","būti geras aštrus viršininkas","Putinas"
"242","klierikas bijoti ugnis","Putinas"
"243","tolti išgirdę garsus kosėjimą krankštimą sprukdavo įmanydami nesusitiktų žilas galvoti akiniuoto žvilgsnio","Putinas"
"244","kartas2 vakarė lankyti kambarys pakontroliuoti ką klierikas dirbti","Putinas"
"245","eidamas kosėdavo trankydavo durys tuojau būti įspėtas tinkamas vizitui pasiruošdavo","Putinas"
"246","visai kitokis būti antrasis seminarija viršininkas inspektorius mazurkovskis storas plikas plačiaburnis visados saldus dievobaiminga minti","Putinas"
"247","klierikas kažkodėl netikėdavo gerumas pamaldumas","Putinas"
"248","kambarys lankyti netyčių tylomis lapė","Putinas"
"249","niekas nežinoti negirdėdavo ateiti","Putinas"
"250","butas būti koridoriuj klierikas kambarys","Putinas"
"251","mazurkovskis būti tikra lenkas mozūras uoliausias lenkiškas tradicija seminarijoj gynėjas","Putinas"
"252","sėkmingas vykdyti planam būti pramokęs lietuvė kalba lenkas klierikus skatinti mokytis būti galimas skirtas lietuviškas parapija lietuvis siųstas lenkiškąsias","Putinas"
"253","visoj diecezijoj seminarijoj metas virė atkaklus kova lietuvė kalba teisė bažnyčia","Putinas"
"254","kovoti įkarštis atbalsiai kaitinti klierikas patriotinis jausmas kartus demoralizavo naikinti pasitikėjimas vyresnybe versti konspiruoti","Putinas"
"255","patriotinis įkarštis būsimas darbas kunigas pašaukimas perspektyvose daugelis seminarija auklėtinis rodyti religinis daug visuomeninius politinius idealas","Putinas"
"256","seminarija vyresnybė nesugebėdama nuramintas patriotinis klierikas aistrus nepajėgdama parodytis reikalingas čia neitralumo tolerancija tapyti vienas demoralizacijos veiksnys","Putinas"
"257","didelis įtaka klierikam daryti dvasus tėvas viso dvasinis gyvenimas vadovas","Putinas"
"258","kartus kalbėti poteris sakyti jiem pamokslas laikyti rekolekcijas klausyti išpažintis","Putinas"
"259","dvasus tėvas būti vienintelis vyrus žmogus klierikas nesilankstydavo praeidavo dirbtinis poza mina susitikti sumišimas dvasus tėvas neturėdavo pamoka nedalyvauti posėdis niekas negalėti pakenktas klieriko opinijai likimas","Putinas"
"260","būti suvaržytas išpažintis sakramentas paslaptim","Putinas"
"261","liudui vasariui būti seminarijoj dvasus tėvas keistis dažnas niekam nebūti aiškus keitimasis priežastis","Putinas"
"262","klierikas čia įžiūrėdavo tautinis kovoti pasėkas dvasus tėvas turėti būti lietuvis galėti klausytis visų klierikas išpažintis","Putinas"
"263","daugelis metas vasaris tikras pietizmu minėti dvasus tėvas","Putinas"
"264","visi būti tokti gerti malonus nuoširdus palygintas pasipūtusiais išdidžiais šiurkštus metas viršininkais","Putinas"
"265","visi dvasus tėvas būti truputis naivus truputis pasaulis žmogus","Putinas"
"266","visi kalbėti monotoniškas veikti migdančiai meditacija neturėjo geras klausa sudaryti keblumas vargonininkui choras giedotines pamaldos","Putinas"
"267","dvasus tėvas įtaka nušviesdavo tolus gražus visus seminarija gyvenimas sluoksnis","Putinas"
"268","kunigas profesorius klierikas gyvenimas tvarka nesikišdavo","Putinas"
"269","gyventi atskiras namas elgesys klierikas mažesnis ką žinoti žmogiškas silpnybė atleisti daug nesipiktindami","Putinas"
"270","turėti klierikas viršininkų tarpti","Putinas"
"271","patikimiausias paskutinis kursas klierikas būti skiriamas seminarija dekanas","Putinas"
"272","turėti sektas tvarkytas įstaigos gyvenimas","Putinas"
"273","skirti klierikui kambarys kuo gyventas","Putinas"
"274","tokti skyrimai transliokatos būti du kartus metas","Putinas"
"275","nemažas būti keblumas","Putinas"
"276","klierikam turėti didžiulis reikšmė","Putinas"
"277","suprantamas dekanas vietos varžydavosi lietuvis lenkas","Putinas"
"278","dekanas vakarė turėti duotas rektorius reliaciją dienoti įvykis","Putinas"
"279","nemažas reikšmė turėti ceremonija mistras","Putinas"
"280","ėjimas būti rūpintas visomis iškilmė katedra seminarija koplyčia","Putinas"
"281","paprastas šventadienių sumom asista susidaryti diakono subdiakono ceremonioriaus turiferarijaus kodyluotojo du akolitų eiti visų priešakys nešdami žvakė didžiulis žvakidėse","Putinas"
"282","du visuomet būti pirmas kursas klierikas","Putinas"
"283","daug jiem būti nepratusiem vargti išmokt žvakė apsieitas ranka prilaikytas priklauptas nusilenktas pusė eiti","Putinas"
"284","vyskupas celebruojant asista būti gausinga ceremonytis labas painus","Putinas"
"285","atsitikti suklydus pralotas oficiolas čia kapitula sėdynė išplūsdavo asilas arklys","Putinas"
"286","būti nelaimingas niekaip negalėti ceremonija išmoktas nemažas turėti nukęsti draugė viršininkų","Putinas"
"287","klierikas turįsis geras balsas mokąs muzikas būti skiriamas dirigentas","Putinas"
"288","ėjimas būti mokytas vestas giesmė profesorius padedant seminarija choras mišparus intonuoti antifonas psalmė","Putinas"
"289","viso giedamoji ceremonija iškilmė dalis būti žinia","Putinas"
"290","seminarijoj rengiamųjų vakarėlis koncertinis dalis","Putinas"
"291","dirigentas ėjimas reikalauti daug darbas būti laisvas dalyvavimas asistoj ceremonija","Putinas"
"292","turėti seminarija vargonininką daugelis atsirasti mokantis skambintas fortepijonas sugebantis vargonuoti","Putinas"
"293","turėti aptiekininką atsirasti buvęs vaistinėj ragavusių farmacija mokslas","Putinas"
